"Title","Category","Service","Release Type","Release Date","State","Overview","Description","Url"
"Security Copilot Inclusion in Microsoft 365 E5","Identity Security & Protection","Other","GA","12/1/2025","Available",,,
"Entitlement Management Introduces Additional Approval Flows for Risky Users’ Access Package Requests Based on IRM and IDP Risk Signals","Identity Governance","Entitlement Management","Public Preview","12/1/2025","Available",,"Entitlement Management now supports risk-based approval escalation. When a user requesting an access package is flagged by Insider Risk Management or Identity Protection as requiring additional scrutiny, the request is automatically routed to designated security approvers for an extra approval step before access is granted.","https://learn.microsoft.com/entra/id-governance/entitlement-management-configure-insider-risk-management-approvals?WT.mc_id=Portal-Microsoft_AAD_IAM"
"URL Filtering","Access Control","Other","Public Preview","12/1/2025","Available",,"This public preview allows you to configure URL filtering rules to granularly deny or allow access to full URLs (including hostname and full path). These rules are part of the existing web content filtering policy schema that allows security policies to become context-aware by linking a policy to a security profile to a conditional access policy.","https://learn.microsoft.com/entra/global-secure-access/how-to-configure-web-content-filtering?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Microsoft Entra Internet Access TLS Inspection","Access Control","Other","GA","12/1/2025","Available",,"Transport Layer Security (TLS) Inspection for Microsoft Entra Internet Access is now generally available, delivering deep visibility into encrypted traffic and advanced security controls. TLS Inspection provides the foundation for user-friendly block messages, full URL filtering, file policy enforcement, and prompt inspection with AI Gateway. Organizations can define flexible TLS inspection policies to specify which traffic to inspect, and which users or devices policies apply to. Custom rules offer granular control to intercept or bypass traffic based on destination FQDNs or web categories, while traffic logs provide detailed insights into matched policies and rules","https://learn.microsoft.com/entra/global-secure-access/concept-transport-layer-security?WT.mc_id=Portal-Microsoft_AAD_IAM"
"GSA plus Netskope ATP and DLP integration","Access Control","Other","GA","12/1/2025","Available",,"In todays evolving threat landscape, organizations face challenges protecting sensitive data and systems from cyberattacks. Global Secure Access combines Entra Internet Access protections with Netskope Advanced Threat Protection (ATP) and Data Loss Prevention (DLP) capabilities to deliver real-time protection against malware, zero-day vulnerabilities, and data leaks, and simplifies management through a unified platform. Microsoft SSE solution adopts an open platform approach, enabling integration with third-party companies, with Netskope being the first.","https://learn.microsoft.com/entra/global-secure-access/concept-netskope-integration?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Internet traffic support over GSA remote network connectivity","Access Control","Other","Public Preview","12/1/2025","Available",,,
"Intelligent Local Access for Private Access","Access Control","Other","Public Preview","12/1/2025","Available",,"Intelligent Local Access capability can help optimize the traffic flow from Microsoft Entra clients to Microsoft Entra Private Access apps when the client is on a corporate/private network by bypassing the traffic instead of sending it through the cloud backend. This feature ensures a consistent security posture for employees, whether they work remote or on-premises. This adaptive local access significantly improves user experience by reducing latency and avoiding network hair pinning.","https://learn.microsoft.com/entra/global-secure-access/enable-intelligent-local-access?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Secure Web and AI Gateway for Microsoft Copilot Studio Agents","Access Control","Other","Public Preview","12/1/2025","Available",,"As organizations adopt autonomous and interactive AI agents to perform tasks previously handled by humans, administrators need visibility and control over agent network activity. Global Secure Access for agents provides network security controls for Microsoft Copilot Studio agents, enabling you to apply the same security policies to agents that you use for users. With Global Secure Access for agents, you can regulate how agents use knowledge, tools, and actions to access external resources. You can apply network security policies including web content filtering, threat intelligence filtering, and network file filtering to agent traffic.","https://learn.microsoft.com/entra/global-secure-access/how-to-secure-web-ai-gateway-agents?WT.mc_id=Portal-Microsoft_AAD_IAM"
"GSA Cloud Firewall for Remote Networks for Internet Traffic","Access Control","Other","Public Preview","12/1/2025","Available",,"Cloud Firewall (CFW), also known as Next Gen Firewall as a Service (FWaaS), can protect GSA customers from unauthorized egress access (like connections to the Internet networks) by monitoring and applying policies on the network traffic, providing centralized management, visibility, and consistent policies for branches. As part of Entra Internet Access, the cloud firewall operates at Layer 3 and higher and is a critical component for enhancing security by providing fine-grained control over network traffic.","https://learn.microsoft.com/entra/global-secure-access/how-to-configure-cloud-firewall?WT.mc_id=Portal-Microsoft_AAD_IAM"
"Edge protection using Cloudflare and Akamai WAF for Entra External ID","B2B/B2C","B2C - Consumer Identity Management","GA","12/1/2025","Available",,"Building on existing guidance, Microsoft Entra External ID can now be configured to work seamlessly with Cloudflare’s or Akamai’s Web Application Firewall (WAF) to shield external-facing authentication endpoints from a range of threats- DDoS attacks, OWASP Top 10 risks, and malicious bots. This enables a layered security posture where traffic flows through Cloudflare or Akamai WAF, then Azure Front Door, before reaching your Entra External ID tenant -keeping threats at bay before they even reach your infrastructure.","https://learn.microsoft.com/entra/external-id/customers/how-to-configure-waf-integration?tabs=admin-center&WT.mc_id=Portal-Microsoft_AAD_IAM"
