"Title","Announcement Type","Service Category","Product Capability","Detail","Link","Date","Release Type"
"Ability to convert Source of Authority of synced on-prem AD users to cloud users is now available","New feature","User Management","Microsoft Entra Cloud Sync","Type:New featureService category:User ManagementProduct capability:Microsoft Entra Cloud Sync We’re pleased to announce the general availability of object-level Source of Authority (SOA) switching for Microsoft Entra ID. With this feature, administrators can transition individual users from being synced with Active Directory (AD) to becoming cloud-managed accounts within Microsoft Entra ID. These users are no longer tied to AD sync and behave like native cloud users, giving you greater flexibility and control. This capability enables organizations to gradually reduce dependence on AD and simplify migration to the cloud, all while minimizing disruption for users and daily operations. Both Microsoft Entra Connect Sync and Cloud Sync fully support this SOA switch, ensuring a smooth transition process. For more information, see:Embrace cloud-first posture: Transfer user Source of Authority (SOA) to the cloud.",,"January 2026","General Availability"
"Entra ID Governance guest billing meter enforcement","New feature","Entitlement Management, Lifecycle Workflows","Entitlement Management, Lifecycle Workflows","Type:New featureService category:Entitlement Management, Lifecycle WorkflowsProduct capability:Entitlement Management, Lifecycle Workflows Enforcement for the Microsoft Entra ID Governance guest billing meter is now in effect for Entitlement Management and Lifecycle Workflows (Access Reviews will be enforced later in CY26 Q1). To keep using Entra ID Governance premium features for guest users in workforce tenants, you must link a valid Azure subscription to activate the Microsoft Entra ID Governance for guests add-on. If a subscription isn’t linked, creation or updates of new guest-scoped governance configurations will be restricted (for example, certain access package policies, access reviews, and lifecycle workflows), and guest-specific governance actions may fail until billing is configured. For more information, see:Microsoft Entra ID Governance licensing for guest users.",,"January 2026","General Availability"
"Modernizing Microsoft Entra ID auth flows with WebView2 in Windows 11","New feature","Authentications (Logins)","SSO","Type:New featureService category:Authentications (Logins)Product capability:SSO Windows has many user experiences that uses webview’s to gather web information to present web information to users that looks like native content. One of the common scenarios for this is for authentication flows, where a user is prompted for their username and provides credentials. Microsoft Entra ID app sign-in through Web Account Manager (WAM) now has the option to be powered by WebView2, the Chromium-based web control, starting withKB5072033 (OS Builds 26200.7462 and 26100.7462) or later. This release marks a significant step forward in delivering a secure, modern, and consistent sign-in experience across apps and services. WebView2 will become the default framework for WAM authentication in an expected future Windows release, with the EdgeHTML WebView being deprecated. Therefore, we encourage users to deploy now and participate in the opt-in process, enable this experience in their environments, and make any necessary adjustments — such as updating proxy rules or modifying code in services involved in the sign in process. Contact Customer Support Services if you'd like to provide feedback. Moving to WebView2 is more than a technical upgrade, it’s a strategic investment in secure, user-friendly identity experiences. We’re committed to evolving Microsoft Entra ID to meet the needs of modern organizations and developers. For more information, see: Now generally available: Modernizing Microsoft Entra ID auth flows with WebView2 in Windows 11 - Windows IT Pro Blog",,"December 2025","General Availability"
"Microsoft Entra Connect security hardening to prevent user account takeover","Fixed","Entra Connect","Access Control","Type:FixedService category:Entra ConnectProduct capability:Access Control As part of ongoing security hardening, Microsoft has implemented new safeguards to block account takeover attempts via hard match abuse in Microsoft Entra Connect (known as SyncJacking). Enforcement of this change begins in March 2026. What’s Changing: • Enforcement logic now checks OnPremisesObjectIdentifier to detect and block remapping attempts. • Audit logs have been enhanced to capture changes to OnPremisesObjectIdentifier and DirSyncEnabled. • Admin capability added to clear OnPremisesObjectIdentifier for legitimate recovery scenarios. Customer Action Required: • Upgrade to the latest Microsoft Entra Connect version. • Review updated hardening guidance and enable recommended flags: • Disablehard match takeover Additional Guidance: • If enforcement blocks an operation, you'll see the following error message: “Hard match operation blocked due to security hardening. Review OnPremisesObjectIdentifier mapping.” • Use audit logs to identify which objects are currently impacted. Specifically, look for audit events where OnPremisesObjectIdentifier or DirSyncEnabledwas modified. • For legitimate recovery, you can clear and reset OnPremisesObjectIdentifier using the following Microsoft Graph API: Request:PATCH https://graph.microsoft.com/beta/users/<UserId> Body: This change will take effect on Microsoft Entra service side so it's independent of your sync client. The Microsoft Entra Connect Sync .msi installation file for this change is exclusively available on Microsoft Entra admin center underMicrosoft Entra Connect.  Check ourversion history pagefor more details on available versions.",,"December 2025","General Availability"
"of Just-in-time password migration to Microsoft Entra External ID","New feature","B2C - Consumer Identity Management","B2B/B2C","Type:New featureService category:B2C - Consumer Identity ManagementProduct capability:B2B/B2C The Just-in-Time (JIT) Password Migration feature is designed to provide a seamless and secure experience for customers transitioning to Microsoft Entra External ID. This capability enables external identity providers to migrate user credentials during sign-in, eliminating the need for bulk password resets and minimizing disruption for end users. When a user meets the migration conditions at sign-in, their credentials are securely transferred as part of the process, ensuring continuity and reducing friction. By integrating migration into the authentication flow, organizations can simplify administrative tasks while maintaining security standards. This approach not only enhances user experience but also accelerates adoption of Microsoft Entra External ID without compromising operational efficiency.",,"December 2025","Public Preview"
"Protect enterprise generative AI applications with Prompt Shield","New feature","Internet Access","Network Access","Type:New featureService category:Internet AccessProduct capability:Network Access Block prompt injection attacks to enterprise GenAI apps in real-time with universal policy controls, extending Azure AI Prompt Shield to all network traffic. For more information, see:Protect Enterprise Generative AI apps with Prompt Shield (preview).",,"December 2025","Public Preview"
"B2B guest access support in Global Secure Access","New feature","B2B","Network Access","Type:New featureService category:B2BProduct capability:Network Access You can now enable the B2B guest access feature for your guest users with the Global Secure Access client, signed in to their home organization's Microsoft Entra ID account. The Global Secure Access client automatically discovers partner tenants where the user is a guest and offers the option to switch into the customer's tenant context. The client routes only private traffic through the customer's Global Secure Access service. For more information, see:Learn about Global Secure Access B2B Guest Access (Preview).",,"December 2025","Public Preview"
"Data exploration using Microsoft Security Copilot in Entra","New feature","N/A","Identity Security & Protection","Type:New featureService category:N/AProduct capability:Identity Security & Protection Microsoft Security Copilot in Microsoft Entra now supports data exploration when prompts return datasets with more than 10 items. This feature is in preview and available for select Microsoft Entra scenarios. From the Copilot chat response, selectOpen listto access a comprehensive data grid. This allows you to explore large datasets with complete and accurate results, enabling more efficient decision-making. Each data grid displays the underlying Microsoft Graph URL, helping you verify query accuracy and build confidence in the results. For more information, see:Microsoft Security Copilot scenarios in Microsoft Entra overview.",,"December 2025","Public Preview"
"Microsoft Entra ID Account Recovery","New feature","Verified ID","Identity Security & Protection","Type:New featureService category:Verified IDProduct capability:Identity Security & Protection Microsoft Entra ID Account Recovery is an advanced authentication recovery mechanism that enables users to regain access to their organizational accounts when they've lost access to all registered authentication methods. Unlike traditional password reset capabilities, account recovery focuses on identity verification and trust re‑establishment prior to replacement of authentication methods rather than simple credential recovery. For more information, see:Overview of Microsoft Entra ID Account Recovery.",,"November 2025","Public Preview"
"Self-remediation for passwordless users","New feature","Identity Protection","Identity Security & Protection","Type:New featureService category:Identity ProtectionProduct capability:Identity Security & Protection Self-remediation for passwordless users:Risk-based access policies in Microsoft Entra Conditional Access now support self-remediation of risks across all authentication methods, including passwordless ones. This new control revokes compromised sessions in real-time, enables frictionless self-service, and reduces help-desk load. For more information, see:Require risk remediation with Microsoft-managed remediation (preview).",,"November 2025","Public Preview"
